"season","bachelor","winner","lon_bach","lat_bach","age_bach"
1,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758
2,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926
5,"Jesse Palmer","Jessica Bowlin",-79.3831843,43.653226,25.5058179329227
9,"Lorenzo Borghese","Jennifer Wilson",9.1859243,45.4654219,34.3134839151266
10,"Andrew Baldwin","Tessa Horst",-76.3055144,40.0378755,30.1519507186858
11,"Brad Womack","None",-84.3879824,33.7489954,34.8692676249144
12,"Matt Grant","Shayne Lamas",-0.1277583,51.5073509,27.6659822039699
13,"Jason Mesnick","Melissa Rycroft",-81.6943605,41.49932,32.5037645448323
14,"Jake Pavelka","Vienna Girardi",-96.7969879,32.7766642,31.937029431896
15,"Brad Womack","Emily Maynard",-84.3879824,33.7489954,38.1464750171116
16,"Ben Flajnik","Courtney Robertson",-122.4580356,38.291859,29.3114305270363
17,"Sean Lowe","Catherine Giudici",-96.9488945,32.8140177,29.1444216290212
18,"Juan Pablo Galavis","Nikki Ferrell",-69.3473509,10.0677719,32.4216290212183
19,"Chris Soules","Whitney Bischoff",-91.6712663,42.7491501,33.1635865845311
20,"Ben Higgins","Lauren Bushnell",-104.990251,39.7392358,27.7837097878166
21,"Nick Viall","TBA",-87.9064736,43.0389025,36.2600958247776
