"name","age","hometown","occupation","eliminated","season","lon","lat","region","region.1","region.2","region.3","region.4","region.5","region.6","region.7","manager","teacher","nurse","student","sales","attorney","model","real_estate","owner"
"Helene Eksterowicz",27,"Gloucester, New Jersey","school psychologist","Winner",2,-75.0494329,39.7933809,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooke Smith",22,"Albertville, Alabama","college student","Runner-Up",2,-86.2088669,34.2675937,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gwen Gioia",31,"Philadelphia, Pennsylvania","executive recruiter","Week 6",2,-75.1652215,39.9525839,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angela",27,"Kansas City, Missouri","registered nurse","Week 5",2,-94.5785667,39.0997265,"5",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Hayley",28,"Lake Oswego, Oregon","retail manager","Week 4",2,-122.6706498,45.4206749,"7",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Heather Crawford",30,"Dallas, Texas","flight attendant","Week 4",2,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Christi",23,"Boise, Idaho","assistant financial advisor","Week 3",2,-116.2146068,43.6187102,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Heather",24,"Walnut Creek, California","marriage therapy trainee","Week 3",2,-122.0651819,37.9100783,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Kyla",22,"Midvale, Utah","airline supervisor","Week 3",2,-111.8999353,40.6110589,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shannon",26,"Long Island, New York","graphic artist","Week 3",2,-73.134961,40.789142,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dana",24,"Beverly Hills, California","radio sales","Week 2",2,-118.4003563,34.0736204,"2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Erin",25,"Westchester, Pennsylvania","publications quality control","Week 2",2,-75.6054882,39.9606643,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suzanne",33,"Redondo Beach, California","flight attendant","Week 2",2,-118.3884078,33.8491816,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frances",30,"San Francisco, California","strategic planning analyst","Week 2 (Quit)",2,-122.4194155,37.7749295,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Anindita",27,"New York City, New York","attorney","Week 2 (Quit)",2,-74.0059413,40.7127837,"1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Amber",26,"Chapel Hill, North Carolina","psychologist","Week 1",2,-79.0558445,35.9131996,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camille",29,"Los Angeles, California","actress","Week 1",2,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cari",29,"Granite City, Illinois","3rd grade teacher","Week 1",2,-90.1487199,38.7014389,"3",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Christy",24,"Avondale, Arizona","radiological technologist","Week 1",2,-112.3496021,33.4355977,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erin",24,"Houston, Texas","interior designer","Week 1",2,-95.3698028,29.7604267,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fatima",22,"Long Beach, California","college student","Week 1",2,-118.1937395,33.7700504,"2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Liangy",30,"Coral Gables, Florida","paralegal","Week 1",2,-80.2683838,25.72149,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lori",26,"Dallas, Texas","former nba cheerleader","Week 1",2,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Merrilee",28,"Forked River, New Jersey","1st grade teacher","Week 1",2,-74.1901399,39.8398413,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Suzi",28,"Richmond, Virginia","communications specialist","Week 1",2,-77.4360481,37.5407246,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amanda Marsh",23,"Chanute, Kansas","event planner","Winner",1,-95.4572034,37.6792135,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trista Rehn",29,"Miami, Florida","miami heat dancer","Runner-Up",1,-80.1917902,25.7616798,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Shannon Oliver",24,"Dallas, Texas","financial management consultant","Week 5",1,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kim",24,"Tempe, Arizona","nanny","Week 4",1,-111.9400054,33.4255104,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
