"name","age","hometown","occupation","eliminated","season","lon","lat","region","region.1","region.2","region.3","region.4","region.5","region.6","region.7","manager","teacher","nurse","student","sales","attorney","model","real_estate","owner","bachelor","winner","lon_bach","lat_bach","age_bach","distance","age_diff","win","p","finish","top4"
"Helene Eksterowicz",27,"Gloucester, New Jersey","school psychologist","Winner",2,-75.0494329,39.7933809,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1039.48232809335,-1.42710472279261,1,1,1,1
"Brooke Smith",22,"Albertville, Alabama","college student","Runner-Up",2,-86.2088669,34.2675937,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,530.146288721252,-6.42710472279261,0,1,2,1
"Gwen Gioia",31,"Philadelphia, Pennsylvania","executive recruiter","Week 6",2,-75.1652215,39.9525839,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1033.34006270253,2.57289527720739,0,1,3,1
"Angela",27,"Kansas City, Missouri","registered nurse","Week 5",2,-94.5785667,39.0997265,"5",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,59.7010941404064,-1.42710472279261,0,1,4,1
"Hayley",28,"Lake Oswego, Oregon","retail manager","Week 4",2,-122.6706498,45.4206749,"7",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1532.7657866842,-0.427104722792606,0,1,5,0
"Heather Crawford",30,"Dallas, Texas","flight attendant","Week 4",2,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,403.772687718357,1.57289527720739,0,1,6,0
"Christi",23,"Boise, Idaho","assistant financial advisor","Week 3",2,-116.2146068,43.6187102,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1197.94708046957,-5.42710472279261,0,1,7,0
"Heather",24,"Walnut Creek, California","marriage therapy trainee","Week 3",2,-122.0651819,37.9100783,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1504.50642355935,-4.42710472279261,0,1,8,0
"Kyla",22,"Midvale, Utah","airline supervisor","Week 3",2,-111.8999353,40.6110589,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,950.961850978432,-6.42710472279261,0,1,9,0
"Shannon",26,"Long Island, New York","graphic artist","Week 3",2,-73.134961,40.789142,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1141.48976008748,-2.42710472279261,0,1,10,0
"Dana",24,"Beverly Hills, California","radio sales","Week 2",2,-118.4003563,34.0736204,"2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1370.77046505198,-4.42710472279261,0,1,11,0
"Erin",25,"Westchester, Pennsylvania","publications quality control","Week 2",2,-75.6054882,39.9606643,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1010.00247830973,-3.42710472279261,0,1,12,0
"Suzanne",33,"Redondo Beach, California","flight attendant","Week 2",2,-118.3884078,33.8491816,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1375.29291620256,4.57289527720739,0,1,13,0
"Frances",30,"San Francisco, California","strategic planning analyst","Week 2 (Quit)",2,-122.4194155,37.7749295,"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1525.16195853914,1.57289527720739,0,1,14,0
"Anindita",27,"New York City, New York","attorney","Week 2 (Quit)",2,-74.0059413,40.7127837,"1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1095.68697261694,-1.42710472279261,0,1,15,0
"Amber",26,"Chapel Hill, North Carolina","psychologist","Week 1",2,-79.0558445,35.9131996,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,857.273325430291,-2.42710472279261,0,1,16,0
"Camille",29,"Los Angeles, California","actress","Week 1",2,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1362.77836204812,0.572895277207394,0,1,17,0
"Cari",29,"Granite City, Illinois","3rd grade teacher","Week 1",2,-90.1487199,38.7014389,"3",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,228.479537073867,0.572895277207394,0,1,18,0
"Christy",24,"Avondale, Arizona","radiological technologist","Week 1",2,-112.3496021,33.4355977,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1061.87116071191,-4.42710472279261,0,1,19,0
"Erin",24,"Houston, Texas","interior designer","Week 1",2,-95.3698028,29.7604267,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,590.828490818392,-4.42710472279261,0,1,20,0
"Fatima",22,"Long Beach, California","college student","Week 1",2,-118.1937395,33.7700504,"2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1366.63061846747,-6.42710472279261,0,1,21,0
"Liangy",30,"Coral Gables, Florida","paralegal","Week 1",2,-80.2683838,25.72149,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1194.05024479523,1.57289527720739,0,1,22,0
"Lori",26,"Dallas, Texas","former nba cheerleader","Week 1",2,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,403.772687718357,-2.42710472279261,0,1,23,0
"Merrilee",28,"Forked River, New Jersey","1st grade teacher","Week 1",2,-74.1901399,39.8398413,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,1085.10727215934,-0.427104722792606,0,1,24,0
"Suzi",28,"Richmond, Virginia","communications specialist","Week 1",2,-77.4360481,37.5407246,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Buerge","Helene Eksterowicz",-94.3305059,38.2586347,28.4271047227926,922.18554397071,-0.427104722792606,0,1,25,0
"Amanda Marsh",23,"Chanute, Kansas","event planner","Winner",1,-95.4572034,37.6792135,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,926.428755316364,-8.62217659137577,1,1,1,1
"Trista Rehn",29,"Miami, Florida","miami heat dancer","Runner-Up",1,-80.1917902,25.7616798,"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,854.470391122362,-2.62217659137577,0,1,2,1
"Shannon Oliver",24,"Dallas, Texas","financial management consultant","Week 5",1,-96.7969879,32.7766642,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,1092.69287296579,-7.62217659137577,0,1,3,1
"Kim",24,"Tempe, Arizona","nanny","Week 4",1,-111.9400054,33.4255104,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,1895.41437611241,-7.62217659137577,0,1,4,1
"Cathy Grimes",22,"Terra Haute, Indiana","graduate student","Week 3",1,-87.4139092,39.4667034,"3",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,492.056153877347,-9.62217659137577,0,1,5,0
"Christina",28,"Bonita, California","attorney","Week 3",1,-117.0352904,32.6583258,"2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,2191.13755993362,-3.62217659137577,0,1,6,0
"LaNease Adams",23,"Los Angeles, California","actress","Week 3",1,-118.2436849,34.0522342,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,2224.21712196132,-8.62217659137577,0,1,7,0
"Rhonda",28,"Woodward, Oklahoma","commercial real estate agent","Week 3",1,-99.3903862,36.4336481,"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,1154.62175848162,-3.62217659137577,0,1,8,0
"Alexa",27,"Beverly Hills, California","special ed. teacher","Week 2",1,-118.4003563,34.0736204,"2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,2232.24053603877,-4.62217659137577,0,1,9,0
"Amy",28,"New York City, New York","production coordinator","Week 2",1,-74.0059413,40.7127837,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,302.592421016461,-3.62217659137577,0,1,10,0
"Angela",25,"Avondale, Arizona","hooters waitress","Week 2",1,-112.3496021,33.4355977,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,1917.49889471977,-6.62217659137577,0,1,11,0
"Angelique",27,"Burbank, California","actress","Week 2",1,-118.3089661,34.1808392,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,2224.90707525541,-4.62217659137577,0,1,12,0
"Katie",23,"Malden, Massachusetts","power tool sales rep.","Week 2",1,-71.066163,42.4250964,"1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,495.266495987507,-8.62217659137577,0,1,13,0
"Melissa",25,"Tempe, Arizona","photographer","Week 2",1,-111.9400054,33.4255104,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alex Michel","Amanda Marsh",-78.4766781,38.0293059,31.6221765913758,1895.41437611241,-6.62217659137577,0,1,14,0
